,category,section,method,method_url,question
148,DataFrame,"Reshaping, sorting, transposing",pandas.DataFrame.droplevel,api/pandas.DataFrame.droplevel.html#pandas.DataFrame.droplevel,Return Series/DataFrame with requested index / column level(s) removed.
149,DataFrame,"Reshaping, sorting, transposing",pandas.DataFrame.pivot,api/pandas.DataFrame.pivot.html#pandas.DataFrame.pivot,Return reshaped DataFrame organized by given index / column values.
150,DataFrame,"Reshaping, sorting, transposing",pandas.DataFrame.pivot_table,api/pandas.DataFrame.pivot_table.html#pandas.DataFrame.pivot_table,Create a spreadsheet-style pivot table as a DataFrame.
151,DataFrame,"Reshaping, sorting, transposing",pandas.DataFrame.reorder_levels,api/pandas.DataFrame.reorder_levels.html#pandas.DataFrame.reorder_levels,Rearrange index levels using input order.
152,DataFrame,"Reshaping, sorting, transposing",pandas.DataFrame.sort_values,api/pandas.DataFrame.sort_values.html#pandas.DataFrame.sort_values,Sort by the values along either axis.
153,DataFrame,"Reshaping, sorting, transposing",pandas.DataFrame.sort_index,api/pandas.DataFrame.sort_index.html#pandas.DataFrame.sort_index,Sort object by labels (along an axis).
154,DataFrame,"Reshaping, sorting, transposing",pandas.DataFrame.nlargest,api/pandas.DataFrame.nlargest.html#pandas.DataFrame.nlargest,Return the first n rows ordered by columns in descending order.
155,DataFrame,"Reshaping, sorting, transposing",pandas.DataFrame.nsmallest,api/pandas.DataFrame.nsmallest.html#pandas.DataFrame.nsmallest,Return the first n rows ordered by columns in ascending order.
156,DataFrame,"Reshaping, sorting, transposing",pandas.DataFrame.swaplevel,api/pandas.DataFrame.swaplevel.html#pandas.DataFrame.swaplevel,Swap levels i and j in a MultiIndex.
157,DataFrame,"Reshaping, sorting, transposing",pandas.DataFrame.stack,api/pandas.DataFrame.stack.html#pandas.DataFrame.stack,Stack the prescribed level(s) from columns to index.
158,DataFrame,"Reshaping, sorting, transposing",pandas.DataFrame.unstack,api/pandas.DataFrame.unstack.html#pandas.DataFrame.unstack,Pivot a level of the (necessarily hierarchical) index labels.
160,DataFrame,"Reshaping, sorting, transposing",pandas.DataFrame.melt,api/pandas.DataFrame.melt.html#pandas.DataFrame.melt,"Unpivot a DataFrame from wide to long format, optionally leaving identifiers set."
161,DataFrame,"Reshaping, sorting, transposing",pandas.DataFrame.explode,api/pandas.DataFrame.explode.html#pandas.DataFrame.explode,"Transform each element of a list-like to a row, replicating index values."
162,DataFrame,"Reshaping, sorting, transposing",pandas.DataFrame.squeeze,api/pandas.DataFrame.squeeze.html#pandas.DataFrame.squeeze,Squeeze 1 dimensional axis objects into scalars.
163,DataFrame,"Reshaping, sorting, transposing",pandas.DataFrame.to_xarray,api/pandas.DataFrame.to_xarray.html#pandas.DataFrame.to_xarray,Return an xarray object from the pandas object.
164,DataFrame,"Reshaping, sorting, transposing",pandas.DataFrame.T,api/pandas.DataFrame.T.html#pandas.DataFrame.T,The transpose of the DataFrame.
165,DataFrame,"Reshaping, sorting, transposing",pandas.DataFrame.transpose,api/pandas.DataFrame.transpose.html#pandas.DataFrame.transpose,Transpose index and columns.
166,DataFrame,Combining / comparing / joining / merging,pandas.DataFrame.assign,api/pandas.DataFrame.assign.html#pandas.DataFrame.assign,Assign new columns to a DataFrame.
167,DataFrame,Combining / comparing / joining / merging,pandas.DataFrame.compare,api/pandas.DataFrame.compare.html#pandas.DataFrame.compare,Compare to another DataFrame and show the differences.
168,DataFrame,Combining / comparing / joining / merging,pandas.DataFrame.join,api/pandas.DataFrame.join.html#pandas.DataFrame.join,Join columns of another DataFrame.
169,DataFrame,Combining / comparing / joining / merging,pandas.DataFrame.merge,api/pandas.DataFrame.merge.html#pandas.DataFrame.merge,Merge DataFrame or named Series objects with a database-style join.
170,DataFrame,Combining / comparing / joining / merging,pandas.DataFrame.update,api/pandas.DataFrame.update.html#pandas.DataFrame.update,Modify in place using non-NA values from another DataFrame.
171,DataFrame,Time Series-related,pandas.DataFrame.asfreq,api/pandas.DataFrame.asfreq.html#pandas.DataFrame.asfreq,Convert time series to specified frequency.
172,DataFrame,Time Series-related,pandas.DataFrame.asof,api/pandas.DataFrame.asof.html#pandas.DataFrame.asof,Return the last row(s) without any NaNs before where.
173,DataFrame,Time Series-related,pandas.DataFrame.shift,api/pandas.DataFrame.shift.html#pandas.DataFrame.shift,Shift index by desired number of periods with an optional time freq.
174,DataFrame,Time Series-related,pandas.DataFrame.first_valid_index,api/pandas.DataFrame.first_valid_index.html#pandas.DataFrame.first_valid_index,"Return index for first non-NA value or None, if no non-NA value is found."
175,DataFrame,Time Series-related,pandas.DataFrame.last_valid_index,api/pandas.DataFrame.last_valid_index.html#pandas.DataFrame.last_valid_index,"Return index for last non-NA value or None, if no non-NA value is found."
176,DataFrame,Time Series-related,pandas.DataFrame.resample,api/pandas.DataFrame.resample.html#pandas.DataFrame.resample,Resample time-series data.
177,DataFrame,Time Series-related,pandas.DataFrame.to_period,api/pandas.DataFrame.to_period.html#pandas.DataFrame.to_period,Convert DataFrame from DatetimeIndex to PeriodIndex.
178,DataFrame,Time Series-related,pandas.DataFrame.to_timestamp,api/pandas.DataFrame.to_timestamp.html#pandas.DataFrame.to_timestamp,"Cast to DatetimeIndex of timestamps, at beginning of period."
179,DataFrame,Time Series-related,pandas.DataFrame.tz_convert,api/pandas.DataFrame.tz_convert.html#pandas.DataFrame.tz_convert,Convert tz-aware axis to target time zone.
180,DataFrame,Time Series-related,pandas.DataFrame.tz_localize,api/pandas.DataFrame.tz_localize.html#pandas.DataFrame.tz_localize,Localize tz-naive index of a Series or DataFrame to target time zone.
181,DataFrame,Flags,pandas.Flags,api/pandas.Flags.html#pandas.Flags,Flags that apply to pandas objects.
182,DataFrame,Metadata,pandas.DataFrame.attrs,api/pandas.DataFrame.attrs.html#pandas.DataFrame.attrs,Dictionary of global attributes of this dataset.
183,DataFrame,Plotting,pandas.DataFrame.plot,api/pandas.DataFrame.plot.html#pandas.DataFrame.plot,DataFrame plotting accessor and method
184,DataFrame,Plotting,pandas.DataFrame.plot.area,api/pandas.DataFrame.plot.area.html#pandas.DataFrame.plot.area,Draw a stacked area plot.
185,DataFrame,Plotting,pandas.DataFrame.plot.bar,api/pandas.DataFrame.plot.bar.html#pandas.DataFrame.plot.bar,Vertical bar plot.
186,DataFrame,Plotting,pandas.DataFrame.plot.barh,api/pandas.DataFrame.plot.barh.html#pandas.DataFrame.plot.barh,Make a horizontal bar plot.
187,DataFrame,Plotting,pandas.DataFrame.plot.box,api/pandas.DataFrame.plot.box.html#pandas.DataFrame.plot.box,Make a box plot of the DataFrame columns.
188,DataFrame,Plotting,pandas.DataFrame.plot.density,api/pandas.DataFrame.plot.density.html#pandas.DataFrame.plot.density,Generate Kernel Density Estimate plot using Gaussian kernels.
189,DataFrame,Plotting,pandas.DataFrame.plot.hexbin,api/pandas.DataFrame.plot.hexbin.html#pandas.DataFrame.plot.hexbin,Generate a hexagonal binning plot.
190,DataFrame,Plotting,pandas.DataFrame.plot.hist,api/pandas.DataFrame.plot.hist.html#pandas.DataFrame.plot.hist,Draw one histogram of the DataFrame's columns.
191,DataFrame,Plotting,pandas.DataFrame.plot.kde,api/pandas.DataFrame.plot.kde.html#pandas.DataFrame.plot.kde,Generate Kernel Density Estimate plot using Gaussian kernels.
192,DataFrame,Plotting,pandas.DataFrame.plot.line,api/pandas.DataFrame.plot.line.html#pandas.DataFrame.plot.line,Plot Series or DataFrame as lines.
193,DataFrame,Plotting,pandas.DataFrame.plot.pie,api/pandas.DataFrame.plot.pie.html#pandas.DataFrame.plot.pie,Generate a pie plot.
194,DataFrame,Plotting,pandas.DataFrame.plot.scatter,api/pandas.DataFrame.plot.scatter.html#pandas.DataFrame.plot.scatter,Create a scatter plot with varying marker point size and color.
195,DataFrame,Plotting,pandas.DataFrame.boxplot,api/pandas.DataFrame.boxplot.html#pandas.DataFrame.boxplot,Make a box plot from DataFrame columns.
196,DataFrame,Plotting,pandas.DataFrame.hist,api/pandas.DataFrame.hist.html#pandas.DataFrame.hist,Make a histogram of the DataFrame's columns.
197,DataFrame,Sparse accessor,pandas.DataFrame.sparse.density,api/pandas.DataFrame.sparse.density.html#pandas.DataFrame.sparse.density,Ratio of non-sparse points to total (dense) data points.
198,DataFrame,Sparse accessor,pandas.DataFrame.sparse.from_spmatrix,api/pandas.DataFrame.sparse.from_spmatrix.html#pandas.DataFrame.sparse.from_spmatrix,Create a new DataFrame from a scipy sparse matrix.
199,DataFrame,Sparse accessor,pandas.DataFrame.sparse.to_coo,api/pandas.DataFrame.sparse.to_coo.html#pandas.DataFrame.sparse.to_coo,Return the contents of the frame as a sparse SciPy COO matrix.
200,DataFrame,Sparse accessor,pandas.DataFrame.sparse.to_dense,api/pandas.DataFrame.sparse.to_dense.html#pandas.DataFrame.sparse.to_dense,Convert a DataFrame with sparse values to dense.
201,DataFrame,Serialization / IO / conversion,pandas.DataFrame.from_dict,api/pandas.DataFrame.from_dict.html#pandas.DataFrame.from_dict,Construct DataFrame from dict of array-like or dicts.
202,DataFrame,Serialization / IO / conversion,pandas.DataFrame.from_records,api/pandas.DataFrame.from_records.html#pandas.DataFrame.from_records,Convert structured or record ndarray to DataFrame.
203,DataFrame,Serialization / IO / conversion,pandas.DataFrame.to_orc,api/pandas.DataFrame.to_orc.html#pandas.DataFrame.to_orc,Write a DataFrame to the ORC format.
204,DataFrame,Serialization / IO / conversion,pandas.DataFrame.to_parquet,api/pandas.DataFrame.to_parquet.html#pandas.DataFrame.to_parquet,Write a DataFrame to the binary parquet format.
205,DataFrame,Serialization / IO / conversion,pandas.DataFrame.to_pickle,api/pandas.DataFrame.to_pickle.html#pandas.DataFrame.to_pickle,Pickle (serialize) object to file.
206,DataFrame,Serialization / IO / conversion,pandas.DataFrame.to_csv,api/pandas.DataFrame.to_csv.html#pandas.DataFrame.to_csv,Write object to a comma-separated values (csv) file.
207,DataFrame,Serialization / IO / conversion,pandas.DataFrame.to_hdf,api/pandas.DataFrame.to_hdf.html#pandas.DataFrame.to_hdf,Write the contained data to an HDF5 file using HDFStore.
208,DataFrame,Serialization / IO / conversion,pandas.DataFrame.to_sql,api/pandas.DataFrame.to_sql.html#pandas.DataFrame.to_sql,Write records stored in a DataFrame to a SQL database.
209,DataFrame,Serialization / IO / conversion,pandas.DataFrame.to_dict,api/pandas.DataFrame.to_dict.html#pandas.DataFrame.to_dict,Convert the DataFrame to a dictionary.
210,DataFrame,Serialization / IO / conversion,pandas.DataFrame.to_excel,api/pandas.DataFrame.to_excel.html#pandas.DataFrame.to_excel,Write object to an Excel sheet.
211,DataFrame,Serialization / IO / conversion,pandas.DataFrame.to_json,api/pandas.DataFrame.to_json.html#pandas.DataFrame.to_json,Convert the object to a JSON string.
212,DataFrame,Serialization / IO / conversion,pandas.DataFrame.to_html,api/pandas.DataFrame.to_html.html#pandas.DataFrame.to_html,Render a DataFrame as an HTML table.
213,DataFrame,Serialization / IO / conversion,pandas.DataFrame.to_feather,api/pandas.DataFrame.to_feather.html#pandas.DataFrame.to_feather,Write a DataFrame to the binary Feather format.
214,DataFrame,Serialization / IO / conversion,pandas.DataFrame.to_latex,api/pandas.DataFrame.to_latex.html#pandas.DataFrame.to_latex,"Render object to a LaTeX tabular, longtable, or nested table."
215,DataFrame,Serialization / IO / conversion,pandas.DataFrame.to_stata,api/pandas.DataFrame.to_stata.html#pandas.DataFrame.to_stata,Export DataFrame object to Stata dta format.
217,DataFrame,Serialization / IO / conversion,pandas.DataFrame.to_records,api/pandas.DataFrame.to_records.html#pandas.DataFrame.to_records,Convert DataFrame to a NumPy record array.
218,DataFrame,Serialization / IO / conversion,pandas.DataFrame.to_string,api/pandas.DataFrame.to_string.html#pandas.DataFrame.to_string,Render a DataFrame to a console-friendly tabular output.
219,DataFrame,Serialization / IO / conversion,pandas.DataFrame.to_clipboard,api/pandas.DataFrame.to_clipboard.html#pandas.DataFrame.to_clipboard,Copy object to the system clipboard.
220,DataFrame,Serialization / IO / conversion,pandas.DataFrame.to_markdown,api/pandas.DataFrame.to_markdown.html#pandas.DataFrame.to_markdown,Print DataFrame in Markdown-friendly format.
221,DataFrame,Serialization / IO / conversion,pandas.DataFrame.style,api/pandas.DataFrame.style.html#pandas.DataFrame.style,Returns a Styler object.
222,DataFrame,Serialization / IO / conversion,pandas.DataFrame.__dataframe__,api/pandas.DataFrame.__dataframe__.html#pandas.DataFrame.__dataframe__,Return the dataframe interchange object implementing the interchange protocol.
0,Series,Constructor,pandas.Series,api/pandas.Series.html#pandas.Series,One-dimensional ndarray with axis labels (including time series).
1,Series,Attributes,pandas.Series.index,api/pandas.Series.index.html#pandas.Series.index,The index (axis labels) of the Series.
2,Series,Attributes,pandas.Series.array,api/pandas.Series.array.html#pandas.Series.array,The ExtensionArray of the data backing this Series or Index.
3,Series,Attributes,pandas.Series.values,api/pandas.Series.values.html#pandas.Series.values,Return Series as ndarray or ndarray-like depending on the dtype.
4,Series,Attributes,pandas.Series.dtype,api/pandas.Series.dtype.html#pandas.Series.dtype,Return the dtype object of the underlying data.
5,Series,Attributes,pandas.Series.shape,api/pandas.Series.shape.html#pandas.Series.shape,Return a tuple of the shape of the underlying data.
6,Series,Attributes,pandas.Series.nbytes,api/pandas.Series.nbytes.html#pandas.Series.nbytes,Return the number of bytes in the underlying data.
7,Series,Attributes,pandas.Series.ndim,api/pandas.Series.ndim.html#pandas.Series.ndim,"Number of dimensions of the underlying data, by definition 1."
8,Series,Attributes,pandas.Series.size,api/pandas.Series.size.html#pandas.Series.size,Return the number of elements in the underlying data.
9,Series,Attributes,pandas.Series.T,api/pandas.Series.T.html#pandas.Series.T,"Return the transpose, which is by definition self."
10,Series,Attributes,pandas.Series.memory_usage,api/pandas.Series.memory_usage.html#pandas.Series.memory_usage,Return the memory usage of the Series.
11,Series,Attributes,pandas.Series.hasnans,api/pandas.Series.hasnans.html#pandas.Series.hasnans,Return True if there are any NaNs.
12,Series,Attributes,pandas.Series.empty,api/pandas.Series.empty.html#pandas.Series.empty,Indicator whether Series/DataFrame is empty.
13,Series,Attributes,pandas.Series.dtypes,api/pandas.Series.dtypes.html#pandas.Series.dtypes,Return the dtype object of the underlying data.
14,Series,Attributes,pandas.Series.name,api/pandas.Series.name.html#pandas.Series.name,Return the name of the Series.
15,Series,Attributes,pandas.Series.flags,api/pandas.Series.flags.html#pandas.Series.flags,Get the properties associated with this pandas object.
16,Series,Attributes,pandas.Series.set_flags,api/pandas.Series.set_flags.html#pandas.Series.set_flags,Return a new object with updated flags.
17,Series,Conversion,pandas.Series.astype,api/pandas.Series.astype.html#pandas.Series.astype,Cast a pandas object to a specified dtype dtype.
18,Series,Conversion,pandas.Series.convert_dtypes,api/pandas.Series.convert_dtypes.html#pandas.Series.convert_dtypes,Convert columns to the best possible dtypes using dtypes supporting pd.NA.
19,Series,Conversion,pandas.Series.infer_objects,api/pandas.Series.infer_objects.html#pandas.Series.infer_objects,Attempt to infer better dtypes for object columns.
20,Series,Conversion,pandas.Series.copy,api/pandas.Series.copy.html#pandas.Series.copy,Make a copy of this object's indices and data.
22,Series,Conversion,pandas.Series.to_numpy,api/pandas.Series.to_numpy.html#pandas.Series.to_numpy,A NumPy ndarray representing the values in this Series or Index.
23,Series,Conversion,pandas.Series.to_period,api/pandas.Series.to_period.html#pandas.Series.to_period,Convert Series from DatetimeIndex to PeriodIndex.
24,Series,Conversion,pandas.Series.to_timestamp,api/pandas.Series.to_timestamp.html#pandas.Series.to_timestamp,"Cast to DatetimeIndex of Timestamps, at beginning of period."
25,Series,Conversion,pandas.Series.to_list,api/pandas.Series.to_list.html#pandas.Series.to_list,Return a list of the values.
26,Series,Conversion,pandas.Series.__array__,api/pandas.Series.__array__.html#pandas.Series.__array__,Return the values as a NumPy array.
27,Series,"Indexing, iteration",pandas.Series.get,api/pandas.Series.get.html#pandas.Series.get,Get item from object for given key (ex: DataFrame column).
28,Series,"Indexing, iteration",pandas.Series.at,api/pandas.Series.at.html#pandas.Series.at,Access a single value for a row/column label pair.
29,Series,"Indexing, iteration",pandas.Series.iat,api/pandas.Series.iat.html#pandas.Series.iat,Access a single value for a row/column pair by integer position.
30,Series,"Indexing, iteration",pandas.Series.loc,api/pandas.Series.loc.html#pandas.Series.loc,Access a group of rows and columns by label(s) or a boolean array.
32,Series,"Indexing, iteration",pandas.Series.__iter__,api/pandas.Series.__iter__.html#pandas.Series.__iter__,Return an iterator of the values.
33,Series,"Indexing, iteration",pandas.Series.items,api/pandas.Series.items.html#pandas.Series.items,"Lazily iterate over (index, value) tuples."
34,Series,"Indexing, iteration",pandas.Series.keys,api/pandas.Series.keys.html#pandas.Series.keys,Return alias for index.
35,Series,"Indexing, iteration",pandas.Series.pop,api/pandas.Series.pop.html#pandas.Series.pop,Return item and drops from series.
36,Series,"Indexing, iteration",pandas.Series.item,api/pandas.Series.item.html#pandas.Series.item,Return the first element of the underlying data as a Python scalar.
37,Series,"Indexing, iteration",pandas.Series.xs,api/pandas.Series.xs.html#pandas.Series.xs,Return cross-section from the Series/DataFrame.
38,Series,Binary operator functions,pandas.Series.add,api/pandas.Series.add.html#pandas.Series.add,"Return Addition of series and other, element-wise (binary operator add)."
39,Series,Binary operator functions,pandas.Series.sub,api/pandas.Series.sub.html#pandas.Series.sub,"Return Subtraction of series and other, element-wise (binary operator sub)."
40,Series,Binary operator functions,pandas.Series.mul,api/pandas.Series.mul.html#pandas.Series.mul,"Return Multiplication of series and other, element-wise (binary operator mul)."
41,Series,Binary operator functions,pandas.Series.div,api/pandas.Series.div.html#pandas.Series.div,"Return Floating division of series and other, element-wise (binary operator truediv)."
42,Series,Binary operator functions,pandas.Series.truediv,api/pandas.Series.truediv.html#pandas.Series.truediv,"Return Floating division of series and other, element-wise (binary operator truediv)."
43,Series,Binary operator functions,pandas.Series.floordiv,api/pandas.Series.floordiv.html#pandas.Series.floordiv,"Return Integer division of series and other, element-wise (binary operator floordiv)."
44,Series,Binary operator functions,pandas.Series.mod,api/pandas.Series.mod.html#pandas.Series.mod,"Return Modulo of series and other, element-wise (binary operator mod)."
45,Series,Binary operator functions,pandas.Series.pow,api/pandas.Series.pow.html#pandas.Series.pow,"Return Exponential power of series and other, element-wise (binary operator pow)."
46,Series,Binary operator functions,pandas.Series.radd,api/pandas.Series.radd.html#pandas.Series.radd,"Return Addition of series and other, element-wise (binary operator radd)."
47,Series,Binary operator functions,pandas.Series.rsub,api/pandas.Series.rsub.html#pandas.Series.rsub,"Return Subtraction of series and other, element-wise (binary operator rsub)."
48,Series,Binary operator functions,pandas.Series.rmul,api/pandas.Series.rmul.html#pandas.Series.rmul,"Return Multiplication of series and other, element-wise (binary operator rmul)."
49,Series,Binary operator functions,pandas.Series.rdiv,api/pandas.Series.rdiv.html#pandas.Series.rdiv,"Return Floating division of series and other, element-wise (binary operator rtruediv)."
50,Series,Binary operator functions,pandas.Series.rtruediv,api/pandas.Series.rtruediv.html#pandas.Series.rtruediv,"Return Floating division of series and other, element-wise (binary operator rtruediv)."
51,Series,Binary operator functions,pandas.Series.rfloordiv,api/pandas.Series.rfloordiv.html#pandas.Series.rfloordiv,"Return Integer division of series and other, element-wise (binary operator rfloordiv)."
52,Series,Binary operator functions,pandas.Series.rmod,api/pandas.Series.rmod.html#pandas.Series.rmod,"Return Modulo of series and other, element-wise (binary operator rmod)."
53,Series,Binary operator functions,pandas.Series.rpow,api/pandas.Series.rpow.html#pandas.Series.rpow,"Return Exponential power of series and other, element-wise (binary operator rpow)."
54,Series,Binary operator functions,pandas.Series.combine,api/pandas.Series.combine.html#pandas.Series.combine,Combine the Series with a Series or scalar according to func.
55,Series,Binary operator functions,pandas.Series.combine_first,api/pandas.Series.combine_first.html#pandas.Series.combine_first,Update null elements with value in the same location in 'other'.
56,Series,Binary operator functions,pandas.Series.round,api/pandas.Series.round.html#pandas.Series.round,Round each value in a Series to the given number of decimals.
57,Series,Binary operator functions,pandas.Series.lt,api/pandas.Series.lt.html#pandas.Series.lt,"Return Less than of series and other, element-wise (binary operator lt)."
58,Series,Binary operator functions,pandas.Series.gt,api/pandas.Series.gt.html#pandas.Series.gt,"Return Greater than of series and other, element-wise (binary operator gt)."
59,Series,Binary operator functions,pandas.Series.le,api/pandas.Series.le.html#pandas.Series.le,"Return Less than or equal to of series and other, element-wise (binary operator le)."
60,Series,Binary operator functions,pandas.Series.ge,api/pandas.Series.ge.html#pandas.Series.ge,"Return Greater than or equal to of series and other, element-wise (binary operator ge)."
61,Series,Binary operator functions,pandas.Series.ne,api/pandas.Series.ne.html#pandas.Series.ne,"Return Not equal to of series and other, element-wise (binary operator ne)."
62,Series,Binary operator functions,pandas.Series.eq,api/pandas.Series.eq.html#pandas.Series.eq,"Return Equal to of series and other, element-wise (binary operator eq)."
63,Series,Binary operator functions,pandas.Series.product,api/pandas.Series.product.html#pandas.Series.product,Return the product of the values over the requested axis.
64,Series,Binary operator functions,pandas.Series.dot,api/pandas.Series.dot.html#pandas.Series.dot,Compute the dot product between the Series and the columns of other.
65,Series,"Function application, GroupBy & window",pandas.Series.apply,api/pandas.Series.apply.html#pandas.Series.apply,Invoke function on values of Series.
66,Series,"Function application, GroupBy & window",pandas.Series.agg,api/pandas.Series.agg.html#pandas.Series.agg,Aggregate using one or more operations over the specified axis.
67,Series,"Function application, GroupBy & window",pandas.Series.aggregate,api/pandas.Series.aggregate.html#pandas.Series.aggregate,Aggregate using one or more operations over the specified axis.
68,Series,"Function application, GroupBy & window",pandas.Series.transform,api/pandas.Series.transform.html#pandas.Series.transform,Call func on self producing a Series with the same axis shape as self.
69,Series,"Function application, GroupBy & window",pandas.Series.map,api/pandas.Series.map.html#pandas.Series.map,Map values of Series according to an input mapping or function.
70,Series,"Function application, GroupBy & window",pandas.Series.groupby,api/pandas.Series.groupby.html#pandas.Series.groupby,Group Series using a mapper or by a Series of columns.
71,Series,"Function application, GroupBy & window",pandas.Series.rolling,api/pandas.Series.rolling.html#pandas.Series.rolling,Provide rolling window calculations.
72,Series,"Function application, GroupBy & window",pandas.Series.expanding,api/pandas.Series.expanding.html#pandas.Series.expanding,Provide expanding window calculations.
73,Series,"Function application, GroupBy & window",pandas.Series.ewm,api/pandas.Series.ewm.html#pandas.Series.ewm,Provide exponentially weighted (EW) calculations.
74,Series,"Function application, GroupBy & window",pandas.Series.pipe,api/pandas.Series.pipe.html#pandas.Series.pipe,Apply chainable functions that expect Series or DataFrames.
75,Series,Computations / descriptive stats,pandas.Series.abs,api/pandas.Series.abs.html#pandas.Series.abs,Return a Series/DataFrame with absolute numeric value of each element.
76,Series,Computations / descriptive stats,pandas.Series.all,api/pandas.Series.all.html#pandas.Series.all,"Return whether all elements are True, potentially over an axis."
77,Series,Computations / descriptive stats,pandas.Series.any,api/pandas.Series.any.html#pandas.Series.any,"Return whether any element is True, potentially over an axis."
78,Series,Computations / descriptive stats,pandas.Series.autocorr,api/pandas.Series.autocorr.html#pandas.Series.autocorr,Compute the lag-N autocorrelation.
79,Series,Computations / descriptive stats,pandas.Series.between,api/pandas.Series.between.html#pandas.Series.between,Return boolean Series equivalent to left <= series <= right.
80,Series,Computations / descriptive stats,pandas.Series.clip,api/pandas.Series.clip.html#pandas.Series.clip,Trim values at input threshold(s).
81,Series,Computations / descriptive stats,pandas.Series.corr,api/pandas.Series.corr.html#pandas.Series.corr,"Compute correlation with other Series, excluding missing values."
82,Series,Computations / descriptive stats,pandas.Series.count,api/pandas.Series.count.html#pandas.Series.count,Return number of non-NA/null observations in the Series.
83,Series,Computations / descriptive stats,pandas.Series.cov,api/pandas.Series.cov.html#pandas.Series.cov,"Compute covariance with Series, excluding missing values."
84,Series,Computations / descriptive stats,pandas.Series.cummax,api/pandas.Series.cummax.html#pandas.Series.cummax,Return cumulative maximum over a DataFrame or Series axis.
85,Series,Computations / descriptive stats,pandas.Series.cummin,api/pandas.Series.cummin.html#pandas.Series.cummin,Return cumulative minimum over a DataFrame or Series axis.
86,Series,Computations / descriptive stats,pandas.Series.cumprod,api/pandas.Series.cumprod.html#pandas.Series.cumprod,Return cumulative product over a DataFrame or Series axis.
87,Series,Computations / descriptive stats,pandas.Series.cumsum,api/pandas.Series.cumsum.html#pandas.Series.cumsum,Return cumulative sum over a DataFrame or Series axis.
88,Series,Computations / descriptive stats,pandas.Series.describe,api/pandas.Series.describe.html#pandas.Series.describe,Generate descriptive statistics.
89,Series,Computations / descriptive stats,pandas.Series.diff,api/pandas.Series.diff.html#pandas.Series.diff,First discrete difference of element.
90,Series,Computations / descriptive stats,pandas.Series.factorize,api/pandas.Series.factorize.html#pandas.Series.factorize,Encode the object as an enumerated type or categorical variable.
91,Series,Computations / descriptive stats,pandas.Series.kurt,api/pandas.Series.kurt.html#pandas.Series.kurt,Return unbiased kurtosis over requested axis.
92,Series,Computations / descriptive stats,pandas.Series.max,api/pandas.Series.max.html#pandas.Series.max,Return the maximum of the values over the requested axis.
93,Series,Computations / descriptive stats,pandas.Series.mean,api/pandas.Series.mean.html#pandas.Series.mean,Return the mean of the values over the requested axis.
94,Series,Computations / descriptive stats,pandas.Series.median,api/pandas.Series.median.html#pandas.Series.median,Return the median of the values over the requested axis.
95,Series,Computations / descriptive stats,pandas.Series.min,api/pandas.Series.min.html#pandas.Series.min,Return the minimum of the values over the requested axis.
96,Series,Computations / descriptive stats,pandas.Series.mode,api/pandas.Series.mode.html#pandas.Series.mode,Return the mode(s) of the Series.
97,Series,Computations / descriptive stats,pandas.Series.nlargest,api/pandas.Series.nlargest.html#pandas.Series.nlargest,Return the largest n elements.
98,Series,Computations / descriptive stats,pandas.Series.nsmallest,api/pandas.Series.nsmallest.html#pandas.Series.nsmallest,Return the smallest n elements.
99,Series,Computations / descriptive stats,pandas.Series.pct_change,api/pandas.Series.pct_change.html#pandas.Series.pct_change,Fractional change between the current and a prior element.
100,Series,Computations / descriptive stats,pandas.Series.prod,api/pandas.Series.prod.html#pandas.Series.prod,Return the product of the values over the requested axis.
101,Series,Computations / descriptive stats,pandas.Series.quantile,api/pandas.Series.quantile.html#pandas.Series.quantile,Return value at the given quantile.
102,Series,Computations / descriptive stats,pandas.Series.rank,api/pandas.Series.rank.html#pandas.Series.rank,Compute numerical data ranks (1 through n) along axis.
103,Series,Computations / descriptive stats,pandas.Series.sem,api/pandas.Series.sem.html#pandas.Series.sem,Return unbiased standard error of the mean over requested axis.
104,Series,Computations / descriptive stats,pandas.Series.skew,api/pandas.Series.skew.html#pandas.Series.skew,Return unbiased skew over requested axis.
105,Series,Computations / descriptive stats,pandas.Series.std,api/pandas.Series.std.html#pandas.Series.std,Return sample standard deviation over requested axis.
106,Series,Computations / descriptive stats,pandas.Series.sum,api/pandas.Series.sum.html#pandas.Series.sum,Return the sum of the values over the requested axis.
107,Series,Computations / descriptive stats,pandas.Series.var,api/pandas.Series.var.html#pandas.Series.var,Return unbiased variance over requested axis.
108,Series,Computations / descriptive stats,pandas.Series.kurtosis,api/pandas.Series.kurtosis.html#pandas.Series.kurtosis,Return unbiased kurtosis over requested axis.
109,Series,Computations / descriptive stats,pandas.Series.unique,api/pandas.Series.unique.html#pandas.Series.unique,Return unique values of Series object.
110,Series,Computations / descriptive stats,pandas.Series.nunique,api/pandas.Series.nunique.html#pandas.Series.nunique,Return number of unique elements in the object.
111,Series,Computations / descriptive stats,pandas.Series.is_unique,api/pandas.Series.is_unique.html#pandas.Series.is_unique,Return boolean if values in the object are unique.
112,Series,Computations / descriptive stats,pandas.Series.is_monotonic_increasing,api/pandas.Series.is_monotonic_increasing.html#pandas.Series.is_monotonic_increasing,Return boolean if values in the object are monotonically increasing.
113,Series,Computations / descriptive stats,pandas.Series.is_monotonic_decreasing,api/pandas.Series.is_monotonic_decreasing.html#pandas.Series.is_monotonic_decreasing,Return boolean if values in the object are monotonically decreasing.
